date,open,high,low,close,wave
2017/3/23,3245.808,3262.091,3221.934,3248.55,-0.001026125
2017/3/24,3247.35,3275.207,3241.123,3269.445,-0.0064321
2017/3/27,3268.924,3283.239,3262.118,3266.955,0.000761597
2017/3/28,3265.634,3265.634,3246.086,3252.948,0.004287479
2017/3/29,3252.865,3262.098,3233.28,3241.314,0.003576448
2017/3/30,3235.137,3240.017,3195.852,3210.237,0.009587778
2017/3/31,3206.253,3226.248,3205.537,3222.514,-0.003824328
2017/4/5,3235.66,3270.645,3233.237,3270.305,-0.014830347
2017/4/6,3272.193,3286.674,3265.765,3281.005,-0.003271866
2017/4/7,3280.624,3295.187,3275.051,3286.616,-0.001710147
2017/4/10,3285.459,3285.459,3265.012,3269.393,0.005240344
2017/4/11,3266.222,3290.389,3244.405,3288.966,-0.005986738
2017/4/12,3283.837,3284.934,3262.277,3273.83,0.004602054
2017/4/13,3265.218,3281.137,3261.49,3275.96,-0.000650614
2017/4/14,3276.138,3276.711,3238.896,3246.067,0.009124959
2017/4/17,3229.949,3229.949,3199.912,3222.167,0.007362756
2017/4/18,3215.396,3225.055,3196.488,3196.713,0.007899653
2017/4/19,3184.666,3189.437,3147.066,3170.687,0.008141488
2017/4/20,3165.665,3178.183,3148.184,3172.1,-0.000445645
2017/4/21,3170.29,3180.794,3158.629,3173.151,-0.000331326
2017/4/24,3164.248,3164.248,3111.215,3129.531,0.013746588
2017/4/25,3123.894,3145.267,3117.449,3134.567,-0.001609187
2017/4/26,3132.918,3152.953,3131.418,3140.847,-0.002003467
2017/4/27,3131.35,3155.003,3097.333,3152.187,-0.003610491
2017/4/28,3144.022,3154.727,3136.578,3154.658,-0.0007839
2017/5/2,3147.228,3154.781,3136.539,3143.712,0.00346979
2017/5/3,3138.307,3148.286,3123.751,3135.346,0.002661185
2017/5/4,3127.106,3143.818,3111.391,3127.369,0.002544217
2017/5/5,3114.774,3117.614,3092.092,3103.038,0.007780022
2017/5/8,3090.065,3093.452,3067.694,3078.613,0.007871318
2017/5/9,3064.848,3084.208,3056.558,3080.527,-0.000621709
2017/5/10,3078.173,3090.819,3051.59,3052.785,0.009005602
2017/5/11,3036.789,3063.564,3016.531,3061.5,-0.00285477
2017/5/12,3054.112,3090.491,3051.871,3083.513,-0.007190266
2017/5/15,3085.932,3098.913,3085.932,3090.229,-0.002178035
2017/5/16,3082.872,3113.512,3060.534,3112.964,-0.00735706
2017/5/17,3107.802,3119.582,3101.295,3104.442,0.002737584
2017/5/18,3082.329,3103.441,3077.963,3090.139,0.004607269
2017/5/19,3086.705,3095.483,3081.278,3090.631,-0.000159216
2017/5/22,3087.171,3103.938,3063.153,3075.676,0.004838818
2017/5/23,3069.394,3084.235,3050.842,3061.947,0.004463734
2017/5/24,3047.568,3064.813,3022.303,3064.076,-0.000695309
2017/5/25,3055.343,3114.658,3052.831,3107.831,-0.014279998
2017/5/26,3101.286,3120.663,3100.388,3110.059,-0.000716899
2017/5/31,3125.325,3143.279,3111.556,3117.178,-0.002289024
2017/6/1,3108.421,3113.521,3097.679,3102.623,0.004669287
2017/6/2,3094.225,3110.389,3081.849,3105.54,-0.000940172
2017/6/5,3102.11,3105.506,3084.83,3091.656,0.00447072
2017/6/6,3084.54,3102.863,3078.787,3102.126,-0.003386535
2017/6/7,3101.761,3140.774,3098.951,3140.325,-0.012313813
2017/6/8,3136.471,3153.264,3132.828,3150.334,-0.00318725
2017/6/9,3147.453,3165.92,3146.108,3158.4,-0.002560363
2017/6/12,3149.527,3164.95,3135.314,3139.877,0.005864678
2017/6/13,3134.009,3155.99,3131.043,3153.743,-0.004416097
2017/6/14,3146.748,3149.173,3125.355,3130.674,0.0073148
2017/6/15,3125.587,3137.585,3117.084,3132.486,-0.000578789
2017/6/16,3126.373,3134.251,3117.857,3123.166,0.002975273
2017/6/19,3122.158,3146.77,3121.779,3144.374,-0.006790545
2017/6/20,3148.019,3150.465,3134.611,3140.014,0.001386604
2017/6/21,3148.986,3157.028,3132.617,3156.212,-0.005158576
2017/6/22,3152.242,3186.982,3146.643,3147.453,0.002775162
2017/6/23,3138.444,3158.047,3118.095,3157.873,-0.003310613
2017/6/26,3157.002,3187.889,3156.977,3185.444,-0.008730877
2017/6/27,3183.42,3193.461,3172.463,3191.197,-0.001806028
2017/6/28,3183.633,3193.44,3170.786,3173.201,0.005639263
2017/6/29,3174.981,3188.774,3174.284,3188.063,-0.004683599
2017/6/30,3176.948,3193.241,3171.57,3192.427,-0.001368856
2017/7/3,3191.998,3196.286,3177.024,3195.912,-0.001091646
2017/7/4,3192.889,3193.064,3174.314,3182.804,0.00410149
2017/7/5,3179.217,3207.31,3174.708,3207.134,-0.007644203
2017/7/6,3203.863,3215.95,3188.773,3212.444,-0.001655684
2017/7/7,3203.823,3219.523,3195.291,3217.957,-0.001716139
2017/7/10,3208.463,3223.34,3203.209,3212.632,0.001654777
2017/7/11,3201.517,3226.908,3199.224,3203.038,0.002986336
2017/7/12,3201.929,3215.196,3177.935,3197.544,0.001715247
2017/7/13,3192.362,3219.268,3190.339,3218.163,-0.006448387
2017/7/14,3212.032,3222.978,3204.853,3222.417,-0.001321872
2017/7/17,3219.791,3230.354,3139.504,3176.465,0.014260104
2017/7/18,3159.732,3187.671,3150.128,3187.567,-0.00349508
2017/7/19,3181.402,3232.941,3179.73,3230.976,-0.013618224
2017/7/20,3227.506,3246.236,3225.433,3244.865,-0.004298701
